MemberID,MembershipType,FlexAddOn,FSA,AccountOpened,LastVisit,TotalVisits,CanEmail,CanPhone,TotalSales
156,Teacher,0,NULL,2016-08-10,2016-08-10,1,YES,NO,0
157,Family,0,N1R,2018-03-28,2019-09-01,4,YES,YES,285
158,Dual,0,N0B,2020-03-01,2020-03-01,3,YES,YES,104.74
159,Dual,0,NULL,2013-07-10,2014-02-01,1,NO,YES,0
160,Individual,0,N2K,2018-08-27,2019-04-22,4,NO,YES,98.75
161,Teacher,0,NULL,2019-03-28,2019-08-19,1,YES,NO,13.95
162,Teacher,0,NULL,2019-08-22,2019-08-22,1,YES,NO,19.9
163,Dual,0,N2H,2017-12-31,2019-07-09,9,YES,YES,574.8
164,Dual,0,N1T,2013-07-10,2013-10-31,1,YES,YES,0
165,Individual,0,N2J,2015-12-20,2017-12-31,18,YES,YES,227.43
166,Teacher,0,NULL,2016-08-15,2016-08-15,1,YES,NO,20.13
167,Dual,0,N0B,2015-04-29,2016-02-20,6,YES,YES,326.26
168,Family,0,N2T,2019-11-29,2020-01-05,3,YES,YES,100
169,Teacher,0,NULL,2017-04-29,2019-12-31,7,YES,NO,14
170,Student,0,NULL,2019-04-17,2020-02-21,26,YES,YES,69.9
171,Dual,0,N2H,2013-06-28,2020-08-06,12,YES,YES,200.96
171,Dual,1,N2H,2017-09-03,2019-08-26,32,YES,YES,205.48
172,Family,0,N2E,2013-06-28,2014-03-13,4,YES,YES,0
173,Teacher,0,NULL,2017-06-22,2020-02-28,11,YES,NO,72.7
174,Dual,1,N2T,2018-12-27,2020-02-20,29,YES,YES,645.77
175,Teacher,0,NULL,2019-08-06,2019-08-06,1,YES,NO,23.9
176,Individual,0,NULL,2015-07-17,2015-07-17,1,NO,NO,20
177,Individual,0,N3A,2014-06-11,2014-07-15,3,YES,YES,47.95
178,Family,0,NULL,2019-12-01,2019-12-27,2,YES,YES,100
179,Family,0,N1R,2017-11-26,2019-05-18,1,NO,YES,0
180,Dual,0,N2V,2020-01-12,2020-01-26,2,YES,YES,80
181,55 & Better,0,N2G,2017-04-05,2017-07-31,2,YES,YES,51.9
182,Teacher,0,NULL,2018-03-12,2018-03-12,1,YES,NO,9.95
183,Family,0,N2A,2013-06-28,2015-03-21,2,YES,YES,150
184,Dual,0,N2M,2014-11-23,2015-08-25,5,YES,YES,0
185,Family,0,N2V,2018-03-04,2019-03-10,25,YES,YES,316.46
186,Dual,0,N2K,2016-10-02,2017-08-18,9,YES,YES,85
186,Family,0,N2K,2019-03-13,2019-12-28,5,YES,YES,79
187,Dual,0,N2M,2013-06-28,2013-08-22,2,YES,YES,0
188,Teacher,0,NULL,2017-08-11,2017-08-11,1,YES,NO,44.9
189,55 & Better,0,N2E,2018-02-23,2018-02-23,1,YES,NO,35
190,Teacher,0,NULL,2016-10-02,2016-10-02,1,NO,NO,29.85
191,Individual,0,N2K,2017-07-07,2019-01-17,4,YES,YES,40
192,Individual,0,N2N,2013-06-28,2020-02-26,1,NO,YES,0
192,Dual,1,N2N,2019-02-09,2020-02-19,29,YES,YES,94.13
193,Family,0,N2B,2014-03-14,2014-07-23,2,YES,NO,83.15
194,Dual,0,N2J,2019-08-27,2019-11-30,2,YES,YES,71.39
195,Teacher,0,NULL,2018-08-05,2019-02-16,4,YES,NO,26.9
196,Individual,0,N2T,2017-01-21,2017-10-13,5,YES,YES,53.95
197,Dual,0,N2G,2016-04-13,2016-04-13,1,YES,YES,60
198,Dual,0,N2V,2013-06-28,2018-11-21,2,YES,YES,103
199,Individual,0,NULL,2014-12-05,2019-08-25,56,NO,NO,3.5
200,Family,0,N2H,2017-02-02,2020-01-26,13,YES,YES,283.95
201,55 & Better,0,N2H,2013-06-28,2014-03-10,4,YES,YES,30
202,Dual,0,N2P,2018-08-23,2019-03-08,6,YES,YES,80
203,Dual,0,N2N,2019-12-28,2019-12-28,1,YES,YES,52.1
204,Individual,0,N2N,2016-09-01,2017-02-22,2,YES,YES,51.95
205,Dual,0,N2A,2014-04-27,2014-04-27,1,YES,YES,33.15
205,Dual,0,N2A,2015-03-08,2016-02-27,5,YES,YES,94.4
206,Family,0,N2L,2013-12-07,2014-12-30,5,YES,YES,142
207,Teacher,0,NULL,2017-03-15,2017-03-15,1,YES,NO,0
208,Individual,1,N2R,2019-04-13,2020-07-16,18,YES,YES,123.78
209,Family,0,N0B,2013-06-28,2019-12-23,63,YES,YES,1348.8
210,Family,0,N0B,2013-06-28,2014-06-27,2,YES,YES,120
211,Dual,0,N2S,2013-06-28,2016-02-27,2,YES,YES,4.49
212,Family,0,N2K,2020-01-05,2020-01-05,1,YES,YES,126.1
213,Family,0,N1L,2014-03-23,2014-12-14,2,YES,YES,120
214,Dual,0,N2H,2013-10-14,2014-05-31,3,NO,YES,70
215,Dual,1,N2V,2018-12-31,2020-01-11,9,YES,YES,139.35
216,Individual,0,N24,2013-07-19,2014-07-31,17,YES,YES,40
216,Dual,0,N2H,2016-06-03,2017-05-11,9,YES,YES,3230
216,Dual,0,N2H,2018-03-09,2020-02-12,9,YES,YES,1885.32
217,Individual,0,L0M,2015-08-27,2016-03-03,3,YES,YES,28.05
218,Dual,0,N2K,2013-07-10,2014-01-03,3,YES,YES,0
219,Dual,0,N2M,2013-06-28,2013-10-25,1,YES,YES,0
220,Teacher,0,NULL,2017-03-17,2019-03-13,5,YES,NO,66.85
221,Dual,0,N2H,2018-02-09,2018-05-05,2,YES,YES,107.9
222,Dual,0,N2L,2013-06-28,2013-11-16,1,YES,YES,0
223,Individual,0,N2M,2019-03-17,2019-03-17,1,YES,YES,45
224,Teacher,0,NULL,2017-02-04,2019-11-17,9,YES,NO,9.95
225,Dual,0,NULL,2019-02-10,2020-02-12,7,YES,NO,92.34
226,Family,0,N2K,2019-03-23,2019-11-02,4,YES,YES,100
227,Teacher,0,NULL,2016-08-30,2017-08-31,2,YES,NO,35.8
228,Individual,0,N2T,2019-02-07,2019-03-29,2,YES,YES,70.9
229,Dual,0,N2V,2013-06-28,2014-11-07,5,NO,YES,0
230,Individual,0,N2A,2019-10-11,2020-02-06,4,YES,YES,45
231,Family,0,N2K,2018-09-29,2018-10-07,2,YES,YES,150
232,Dual,0,N2E,2017-03-26,2017-03-26,1,NO,YES,70
233,Teacher,0,NULL,2019-03-11,2020-03-06,1,YES,NO,13.95
234,Dual,0,N2L,2017-02-05,2018-03-09,9,YES,YES,61.87
235,Teacher,0,NULL,2016-09-05,2016-09-05,1,YES,NO,6.95
236,Student,0,N2C,2016-04-20,2016-07-11,2,YES,YES,30
237,Family,0,N2E,2013-06-28,2016-04-17,3,YES,YES,150
238,Family,0,N2K,2013-08-22,2017-08-24,40,YES,YES,2451.18
239,Teacher,0,NULL,2017-02-20,2020-02-17,2,YES,NO,34.84
240,Family,0,N0B,2017-11-25,2017-12-28,2,YES,YES,100
241,Dual,0,N3A,2014-01-03,2015-01-10,3,YES,YES,40.1
242,Family,0,N1E,2013-06-28,2014-07-03,4,YES,YES,121
243,Individual,0,N2H,2014-07-09,2015-04-23,8,YES,YES,40
244,55 & Better,0,NULL,2013-06-28,2013-10-20,1,NO,NO,0
245,Family,0,N2E,2013-11-06,2014-09-06,5,YES,YES,0
246,Family,0,N2H,2013-06-28,2014-12-20,8,YES,YES,216
247,Family,0,N2N,2019-11-14,2020-02-29,3,YES,YES,164
248,Dual,1,N2G,2017-02-09,2020-01-03,36,YES,YES,281.9
249,Family,0,N2H,2013-06-28,2019-11-17,21,YES,YES,491.05
250,Teacher,0,NULL,2016-10-19,2016-10-19,2,YES,NO,88.1
251,Dual,0,N2A,2014-07-23,2016-08-07,12,YES,YES,212.89
252,Family,0,N2T,2019-01-01,2019-02-18,5,YES,YES,130.14
253,Individual,0,N2L,2017-08-20,2019-09-04,11,YES,YES,123.85
254,55 & Better,0,N2H,2020-10-29,2020-10-29,1,YES,YES,35
255,Dual,0,N2B,2018-08-06,2019-03-28,5,YES,YES,55.9
256,Teacher,0,NULL,2017-03-17,2019-12-11,6,YES,NO,101.9
257,Dual,0,N2H,2014-12-23,2015-10-30,9,YES,YES,91.9
258,Dual,0,N2M,2013-06-28,2016-07-27,46,YES,YES,218.9
259,Individual,0,N2L,2017-03-13,2017-12-29,7,YES,YES,51.95
260,Family,0,N2K,2018-01-03,2019-11-03,30,YES,YES,303.95
260,Family,0,N2K,2013-06-28,2016-09-10,68,YES,YES,414.17
261,Individual,0,N2K,2016-01-10,2016-01-10,1,YES,YES,110
261,Family,0,N2K,2013-07-10,2015-01-11,13,YES,YES,130
262,Dual,0,N2G,2016-09-14,2017-06-21,7,YES,NO,85
263,Family,0,N4A,2013-06-28,2013-11-03,7,YES,YES,0
264,Teacher,0,NULL,2019-02-16,2019-05-11,1,YES,NO,0
265,Family,0,N4W,2014-09-04,2015-03-18,2,YES,YES,87.15
266,Teacher,0,NULL,2019-11-09,2019-11-09,1,YES,NO,23.9
267,Dual,0,N2K,2016-09-10,2017-02-18,4,YES,YES,8.95
268,Family,0,N2A,2016-03-11,2017-03-25,7,YES,YES,20.9
269,Teacher,0,NULL,2019-08-17,2019-08-17,1,YES,NO,0
270,Family,0,N1E,2019-01-12,2020-08-15,36,YES,YES,294.5
271,Family,0,N2H,2016-08-23,2017-06-30,7,YES,YES,160
272,Family,0,N2A,2017-11-26,2020-02-08,33,YES,YES,941.52
273,Teacher,0,NULL,2017-02-12,2017-02-12,1,YES,NO,20.9
274,Dual,0,N1R,2019-07-13,2020-01-01,4,YES,YES,48.47
275,Teacher,0,NULL,2020-02-21,2020-02-21,1,YES,NO,33.85
276,Dual,0,NULL,2013-07-10,2013-10-16,1,YES,YES,0
277,Family,0,N1K,2013-06-28,2018-02-25,6,YES,YES,150
278,Individual,0,N2H,2013-06-28,2018-03-15,2,NO,YES,49.95
279,Family,0,N2H,2013-06-28,2019-01-02,332,NO,NO,671.8
280,Dual,0,N2H,2015-02-16,2016-04-03,19,YES,YES,219
281,Teacher,0,NULL,2017-07-17,2017-07-17,1,YES,NO,0
282,Individual,0,N2K,2015-06-25,2015-06-25,1,YES,YES,28.05
283,Family,0,N2L,2014-12-14,2015-11-14,9,YES,YES,161.95
284,Individual,0,NULL,2014-12-13,2015-01-11,2,NO,NO,40
285,Teacher,0,NULL,2016-08-26,2019-10-11,15,YES,NO,29.24
286,Teacher,0,NULL,2016-10-23,2018-02-17,2,YES,NO,18.9
287,Dual,0,N2H,2019-12-31,2020-02-20,4,YES,YES,61.96
288,Family & Friends,0,N2L,2016-12-23,2017-02-25,3,YES,YES,250
289,Individual,0,N2J,2016-04-13,2018-04-11,9,YES,YES,71
290,Family,0,N2R,2013-06-28,2013-09-15,2,YES,YES,0
291,Dual,0,N2H,2017-01-14,2017-01-14,1,YES,YES,34.6
292,Family,1,N0J,2019-03-15,2020-03-08,8,YES,YES,130
293,Dual,0,N2M,2013-07-10,2014-03-08,3,YES,YES,70
294,Individual,0,N2H,2017-12-13,2018-12-20,17,YES,YES,67.9
295,Dual,0,N1E,2015-04-30,2019-06-28,32,YES,YES,383.8
296,Family,0,N2A,2014-03-02,2015-03-07,7,YES,YES,270
297,Student,0,N2E,2019-08-25,2019-12-01,3,YES,YES,115
298,55 & Better,0,N2G,2013-07-09,2018-04-07,30,YES,YES,336.1
299,Dual,0,N2N,2014-11-19,2015-06-05,2,YES,YES,105
300,Dual,0,N2L,2013-06-28,2013-08-21,1,YES,YES,10.95
301,Student,0,NULL,2013-06-28,2019-07-11,13,NO,NO,0
302,Family,1,N2M,2019-05-12,2020-02-02,7,YES,YES,172.05
303,Dual,0,N2A,2015-08-14,2018-01-19,11,YES,YES,398.95
304,Teacher,0,NULL,2019-08-19,2019-08-19,1,YES,NO,19.9
305,Individual,1,N2A,2020-03-05,2020-03-11,4,YES,YES,61.05
306,55 & Better,1,N0B,2020-10-29,2020-10-29,1,YES,YES,65
307,Family,0,N2A,2014-01-12,2014-08-13,3,YES,YES,122
308,Teacher,0,NULL,2017-05-05,2017-05-05,1,YES,NO,0
309,Teacher,0,NULL,2017-01-18,2017-01-18,1,YES,NO,0
310,Family,0,N2V,2013-06-28,2017-04-07,4,YES,YES,240
311,Individual,0,NULL,2014-12-05,2019-08-02,3,NO,NO,0
312,Dual,0,N2K,2017-11-24,2018-09-22,18,YES,YES,1183.51
313,Dual,0,N2H,2014-02-16,2015-03-29,7,YES,YES,41.1
314,Family,0,N2M,2019-11-15,2019-11-15,1,YES,YES,93.15
315,Dual,0,N2G,2017-04-05,2017-04-05,1,NO,YES,70
316,Individual,0,N2K,2019-07-14,2019-11-16,2,YES,YES,0
317,MAD,0,N2L,2017-10-04,2018-03-15,3,YES,YES,50
318,Dual,0,N0B,2015-02-15,2016-01-24,13,YES,YES,88.55
319,Individual,0,N2B,2013-06-28,2013-08-02,1,YES,YES,0
320,Family & Friends,0,N2A,2015-07-23,2016-07-12,10,YES,YES,217.15
321,Family,0,N2J,2018-02-19,2020-01-24,8,YES,YES,125
322,Dual,0,N2G,2017-01-02,2019-02-03,23,YES,YES,157
323,Teacher,0,NULL,2019-11-27,2019-11-27,1,YES,NO,0
324,Dual,0,N2L,2019-03-24,2020-02-08,11,YES,YES,353
325,Family,0,N0B,2019-06-05,2020-07-16,7,YES,YES,136
326,Individual,0,NULL,2014-12-05,2020-03-05,1,NO,NO,0
327,Dual,0,N1R,2019-07-10,2020-01-08,3,YES,YES,73
328,55 & Better,0,N0B,2019-12-15,2020-02-01,3,YES,YES,13.5
329,Individual,0,N2N,2015-10-18,2017-01-08,4,NO,NO,106
330,Individual,0,N2M,2018-02-21,2019-09-06,6,YES,YES,0
331,Family,0,N2A,2016-08-31,2019-07-12,13,NO,NO,473.39
332,Family,0,L9W,2014-01-16,2015-01-24,8,YES,YES,21.9
333,Individual,0,V8Z,2016-07-18,2016-07-25,4,YES,YES,11.95
334,Family,0,N2E,2018-01-01,2019-09-15,17,YES,YES,303
335,Dual,0,N2A,2017-04-07,2019-06-05,6,YES,YES,1274.9
336,Dual,0,N2T,2017-02-20,2018-02-19,26,YES,YES,125.73
336,Dual,0,N2T,2018-04-08,2019-06-02,9,YES,YES,170.8
337,55 & Better,0,NULL,2017-08-22,2018-07-23,3,NO,NO,35
338,Individual,0,N0B,2017-02-10,2019-11-16,6,YES,YES,92.45
339,Teacher,0,NULL,2018-03-14,2018-03-14,2,YES,NO,7
340,Family,0,N2T,2018-11-25,2018-11-25,1,YES,YES,100
341,Individual,0,N2K,2019-02-27,2020-02-19,13,YES,YES,67.9
342,Individual,0,NULL,2020-09-18,2020-10-23,2,YES,YES,45
343,Teacher,0,NULL,2017-03-29,2020-01-01,20,YES,NO,14.95
344,Family,1,N2J,2017-10-07,2020-02-13,7,YES,YES,337.95
345,Dual,0,N2C,2019-02-24,2019-02-24,1,YES,YES,80
346,Dual,0,N2L,2016-05-15,2017-01-12,3,NO,YES,80
347,Dual,0,N2L,2016-05-01,2017-04-22,7,YES,YES,110
347,Dual,0,N2L,2017-10-14,2018-03-31,3,YES,YES,83.15
348,Individual,1,N2B,2018-12-23,2019-07-31,3,YES,YES,0
349,Family,0,N2T,2019-11-10,2019-12-31,2,YES,YES,126.1
350,Teacher,0,NULL,2015-06-05,2015-06-05,1,YES,NO,0
350,Teacher,0,NULL,2019-01-16,2019-11-30,2,YES,NO,0
351,Family,0,N2E,2013-06-28,2014-08-03,6,YES,YES,268.95
352,Teacher,0,NULL,2014-08-21,2014-08-21,1,YES,NO,8.95
353,Individual,0,N2H,2019-10-24,2020-01-19,3,YES,YES,45
354,Dual,0,N2T,2015-01-08,2017-01-21,11,YES,YES,146.29
355,Dual,0,N2E,2013-11-10,2016-12-31,26,YES,YES,156.9
356,Teacher,0,NULL,2020-02-19,2020-02-27,2,YES,NO,0
357,Individual,0,NULL,2013-07-26,2013-09-14,2,NO,NO,0
358,Dual,0,N2K,2018-07-22,2020-03-07,21,YES,YES,146.05
359,Individual,0,N1K,2017-04-22,2017-11-26,7,YES,YES,11.95
